이름,성별,생년월일,부서,입사일
이정훈,남,1975-04-22,비교과센터,1999-01-07
박서연,여,1978-08-15,비교과센터,2002-02-09
최민재,남,1972-11-03,비교과센터,1995-03-13
김지영,여,1980-06-19,비교과센터,2000-04-16
한동욱,남,1969-09-28,비교과센터,1993-05-22
정유미,여,1983-02-10,비교과센터,2005-06-29
강민우,남,1976-12-05,역량관리센터,1996-07-02
윤수진,여,1979-05-30,역량관리센터,2000-08-06
오준석,남,1971-07-07,역량관리센터,1997-09-10
신혜리,여,1982-01-14,역량관리센터,2010-10-14
김민지,여,1999-09-16,역량관리센터,2020-11-25
김소은,여,1998-08-18,역량관리센터,2021-12-28
장민아,여,2000-05-24,역량관리센터,2021-12-28
라건국,남,1996-11-15,관리자,2025-09-21
박지훈,남,1998-11-11,관리자,2025-09-23
신유민,여,2000-01-11,관리자,2025-09-23
